  YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
         KST  ID  16  m/s  WD   WS   TM    hPa    hPa      hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT                              TOT MID  MIN          TOP MID LOW                  GD     C     5    10    20    30 SEA    m         
202302271400 226  16  1.4  -9 -9.0   -9 1011.2 1031.9 -9  -9.0  12.3  -8.2  23.0   3.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4247  1.0 -9.00 -9  20.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 232  20  2.2  -9 -9.0   -9 1022.6 1033.0 -9  -9.0  11.6  -8.8  23.0   3.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3526  1.0 -9.00 -9  14.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 235  20  3.4  -9 -9.0   -9 1032.2 1033.4 -9  -9.0   8.1  -0.9  53.0   5.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  2014  1.0 -9.00 -9  17.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 236  34  0.9  -9 -9.0   -9 1031.6 1033.2 -9  -9.0  12.5  -9.2  21.0   3.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4166  1.0 -9.00 -9  27.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 238  14  1.0  -9 -9.0   -9 1010.7 1031.5 -9  -9.0  13.0 -10.1  19.0   2.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0 -9.00 -9  14.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 239   7  1.5  -9 -9.0   -9 1021.6 1032.6 -9  -9.0  11.3  -9.1  23.0   3.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3260  1.0  2.64 -9  30.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 243  29  2.6  -9 -9.0   -9 1032.2 1033.7 -9  -9.0  10.5  -3.9  36.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        5   0   -9 -         -9  -9  -9  3257  1.0 -9.00 -9  28.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 244  16  2.1  -9 -9.0   -9 1002.2 1031.9 -9  -9.0  12.9 -12.3  16.0   2.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4970  1.0 -9.00 -9  14.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 245  29  1.7  -9 -9.0   -9 1024.8 1033.2 -9  -9.0  12.1  -6.8  26.0   3.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1975  1.0 -9.00 -9  17.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 247  11  2.7  -9 -9.0   -9 1016.7 1032.9 -9  -9.0  12.9 -11.6  17.0   2.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4339  1.0 -9.00 -9  26.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 248  20  3.3  -9 -9.0   -9  983.2 1031.8 -9  -9.0  11.8 -14.9  14.0   1.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0 -9.00 -9  16.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202302271400 251  20  2.2  -9 -9.0   -9 1025.9 1033.1 -9  -9.0  12.5  -7.0  25.0   3.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4765  1.0  2.82 -9  18.7   7.8   4.1   4.4   4.1  -9 -9.0 -9  3 -9
202302271400 252  27  1.9  -9 -9.0   -9 1029.5 1034.1 -9  -9.0  10.3  -5.3  33.0   4.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3841  1.0  2.86 -9  30.2  10.6   7.0   4.6   4.4  -9 -9.0 -9  3 -9
202302271400 253  16  3.0  -9 -9.0   -9 1026.4 1033.0 -9  -9.0  14.6  -5.2  25.0   4.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  3497  1.0  2.69 -9  30.8   7.8   6.9   6.8   7.0  -9 -9.0 -9  3 -9
202302271400 254  27  3.4  -9 -9.0   -9 1017.5 1033.2 -9  -9.0  12.6 -13.4  15.0   2.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.93 -9  26.1   6.7   6.3   3.7   3.8  -9 -9.0 -9  3 -9
202302271400 255  14  2.3  -9 -9.0   -9 1025.7 1031.9 -9  -9.0  15.1  -7.1  21.0   3.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  2.64 -9  18.8  12.1   9.4   5.8   5.4  -9 -9.0 -9  3 -9
202302271400 257  23  3.9  -9 -9.0   -9 1031.3 1032.1 -9  -9.0  14.7  -4.6  26.0   4.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1508  1.0  2.66 -9  22.6  13.8  11.8   5.9   6.2  -9 -9.0 -9  3 -9
202302271400 258  18  5.9  -9 -9.0   -9 1033.7 1033.9 -9  -9.0  12.8  -3.9  31.0   4.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4997  1.0  2.96 -9  21.1   6.0   5.7   5.5   5.7  -9 -9.0 -9  3 -9
